id,name,category,address,pinCode,latitude,longitude,entryFee,openingHours,visitorRating,description
1,Bhawartal Garden,Park,"Old Napier Town, Jabalpur, Madhya Pradesh",482001,23.16910000,79.93380000,₹20 per person,10:00 AM - 6:00 PM,4.3,"Located in the heart of Jabalpur city in Old Napier Town, Bhawartal Garden is a vibrant public park replete with slides, swings, toy trains, and verdant greenery. Developed by the municipal corporation, it serves as a central hub for morning yoga sessions, fitness enthusiasts, and families. The garden is beautifully landscaped and features a musical fountain that attracts visitors in the evenings. It is a perfect spot for a peaceful walk or a family picnic, offering a serene escape from the urban hustle. The park is well-maintained and provides a safe environment for children to play."
2,Dumna Nature Reserve,Nature Reserve,"Airport Road, near IIITDM, Jabalpur, Madhya Pradesh",482005,23.18150000,80.02100000,₹20 per person,10:30 AM - 6:30 PM,4.1,"Spread over a vast area of 1058 hectares, Dumna Nature Reserve is a premier eco-tourism site in Jabalpur. It is home to a diverse range of flora and fauna, including spotted deer, wild boars, jackals, and numerous bird species. The reserve also encompasses the historic Khandari Dam, built in 1883, which serves as a vital water source for the city. Visitors can enjoy nature walks, cycling on designated trails, and bird watching. The park features a children's play area, a toy train, and a small restaurant. Its tranquil environment makes it a favorite destination for nature lovers and families seeking a wilderness experience within city limits."
3,Kachnar City Shiva Temple,Temple,"Kachnar City Main Road, Vijay Nagar, Jabalpur, Madhya Pradesh",482002,23.19320000,79.91150000,Free,7:00 AM - 8:30 PM,4.6,"The Kachnar City Shiva Temple is famous for its magnificent 76-foot tall statue of Lord Shiva, standing tall under the open sky. Built in 2004 and opened to the public in 2006, the statue is a major spiritual landmark in Jabalpur. Below the statue lies a cavern containing replicas of the 12 Jyotirlingas from across India. The temple complex is beautifully maintained with lush green lawns and a peaceful atmosphere. The evening aarti is a spiritual highlight, accompanied by devotional music and lights that make the white statue appear ethereal. It has become one of the most visited religious sites in Central India, attracting devotees and tourists alike."
4,Pisanhari Ki Madiya,Temple,"Medical Garha, Near Medical College, Jabalpur, Madhya Pradesh",482003,23.14850000,79.88200000,Free,6:00 AM - 8:00 PM,4.5,"Pisanhari Ki Madiya is a revered 500-year-old Jain pilgrimage center located atop a hill near the Netaji Subhash Chandra Bose Medical College. The temple is significant to the Digambara sect of Jainism and is known for its inspiring history; it was built by a poor woman who saved money by grinding flour (Pisan-hari). To reach the main shrine, visitors must climb approximately 150 steps, which offer a panoramic view of the surrounding greenery and the city. The temple complex includes several smaller shrines, a dharamshala for pilgrims, and well-maintained gardens. It is a place of profound spiritual energy and architectural beauty, reflecting the deep-rooted Jain traditions of the region."
5,Tilwara Ghat,River Ghat,"Tilwara, Jabalpur, Madhya Pradesh",482003,23.11800000,79.87800000,Free,Open 24 hours,4.4,"Tilwara Ghat is one of the most historically and spiritually significant ghats on the banks of the sacred Narmada River. It is famously known as the site where Mahatma Gandhi's ashes were immersed in the river in 1948. The ghat houses the Gandhi Smarak, a memorial dedicated to the Father of the Nation. It is also the location where the Tripuri Congress session was held in 1939. Apart from its historical importance, the ghat is a center for religious activities, with several temples nearby, including the Tilwadeshwar Mahadev Temple. The serene flow of the Narmada and the spiritual ambiance make it a popular spot for both pilgrims and those seeking a quiet moment by the river."
6,Bargi Dam,Dam,"Nagour Highway, Bargi, Jabalpur, Madhya Pradesh",482056,22.94100000,79.93200000,₹10 for entry,9:00 AM - 6:00 PM,4.4,"Bargi Dam is one of the first major dams built on the Narmada River and has transformed into a major tourism hub near Jabalpur. The massive reservoir created by the dam offers a stunning landscape of water and hills. The Madhya Pradesh Tourism Development Corporation (MPTDC) operates a resort and a boat club here. Visitors can enjoy a variety of water sports, including speed boating, water scooters, and paddle boating. The highlight is the large cruise boat that takes tourists on a relaxing journey across the backwaters. The area is also a popular spot for bird watching, especially during winters when migratory birds visit the reservoir. It is an ideal destination for a day trip or a weekend getaway."
7,Rani Durgavati Museum,Museum,"Near Bhawartal Garden, Napier Town, Jabalpur, Madhya Pradesh",482001,23.16750000,79.93450000,₹20 per person,10:00 AM - 5:00 PM (Closed on Mondays),4.2,"Established in 1976, the Rani Durgavati Museum is dedicated to the memory of the valiant Gond queen who fought bravely against the Mughal Empire. Centrally located near Bhawartal Garden, the museum houses a remarkable collection of sculptures, inscriptions, and prehistoric artifacts. The galleries display exquisite stone carvings from the 10th to 12th centuries, mostly collected from the Chausath Yogini Temple and surrounding areas. It also features a dedicated section on tribal life and culture, showcasing traditional tools, ornaments, and art of the Gond and Baiga tribes. The museum provides a deep insight into the rich archaeological and historical heritage of the Narmada Valley and the Mahakoshal region."
8,Hanumantal Bada Jain Mandir,Temple,"Hanumantal Ward, Jabalpur, Madhya Pradesh",482002,23.17950000,79.94500000,Free,8:00 AM - 7:00 PM,4.5,"Hanumantal Bada Jain Mandir is a historic and architecturally stunning Jain temple situated on the edge of the Hanuman Taal. Built originally in 1686 and later renovated, it is one of the largest independent Jain temples in India, featuring 22 separate shrines within its complex. The temple's structure resembles a fortress with multiple ornate shikharas. It is a major spiritual center for the Digambara Jain community. The sanctum sanctorum houses a beautiful idol of Goddess Padmavati. The temple is known for its peaceful environment and the grand annual procession during Mahavir Jayanti. Its location by the lake adds to its serene and picturesque appeal, making it a must-visit for those interested in heritage and spirituality."
9,Tagore Garden,Park,"Mall Road, South Civil Lines, Sadar, Jabalpur, Madhya Pradesh",482001,23.15500000,79.94100000,₹10 per person,5:00 AM - 6:00 PM,3.9,"Tagore Garden, located in the bustling Sadar area, is a beautifully landscaped public park named after the legendary poet Rabindranath Tagore. It is a popular destination for morning walks, jogging, and recreational activities. The park is characterized by its lush green lawns, well-maintained footpaths, and a variety of trees and flowering plants. It features a children's play area with swings and slides, making it a favorite for local families. Its central location near the shopping districts of Sadar makes it a convenient spot for visitors to relax after a day of exploring the city. The garden is known for its cleanliness and peaceful atmosphere, providing a much-needed green space in the heart of the city."
10,Shaheed Smarak,Monument,"Wright Town, Jabalpur, Madhya Pradesh",482002,23.16450000,79.92800000,Free,10:00 AM - 6:00 PM,4.3,"Shaheed Smarak is a premier cultural and historical landmark in Jabalpur, built to commemorate the martyrs of India's freedom struggle. The building's architecture is inspired by the Parliament House in New Delhi. It is world-renowned for the magnificent frescoes (murals) that adorn its walls, balconies, and dome, painted by the internationally acclaimed artist Beohar Rammanohar Sinha and his colleagues from Santiniketan. These paintings depict various phases of India's war of independence, starting from the era of Rani Durgavati. The complex includes a large auditorium, an art gallery, and a library. It serves as a major venue for cultural events, exhibitions, and public gatherings, standing as a proud testament to the city's patriotic heritage."
